City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,celestun,20.8667,-90.4,21.36,85,4,3.9,MX,1675589589
1,polis,35.0367,32.4264,14.9,74,99,4.39,CY,1675589590
2,hithadhoo,-0.6,73.0833,27.01,70,96,5.26,MV,1675589591
3,ushuaia,-54.8,-68.3,8.81,61,75,3.09,AR,1675589311
4,bethel,41.3712,-73.414,-0.25,65,0,1.54,US,1675589320
5,punta arenas,-53.15,-70.9167,8.06,71,20,15.95,CL,1675589593
6,banjar,-8.19,114.9675,25.78,88,100,3.54,ID,1675589594
7,mataura,-46.1927,168.8643,14.57,92,70,1.77,NZ,1675589596
8,ismailia,30.6043,32.2723,18.04,45,0,6.17,EG,1675589597
9,hobart,-42.8794,147.3294,17.92,72,20,4.12,AU,1675589411
10,georgetown,5.4112,100.3354,30.97,70,20,5.14,MY,1675589342
11,bredasdorp,-34.5322,20.0403,24.9,70,100,6.34,ZA,1675589599
12,kenora,49.8167,-94.4337,-15.46,85,75,2.06,CA,1675589600
13,souillac,-20.5167,57.5167,29.21,74,40,4.12,MU,1675589600
14,hermanus,-34.4187,19.2345,23.78,91,100,5.02,ZA,1675589601
15,inverell,-29.7833,151.1167,23.7,45,0,1.35,AU,1675589602
16,krasnoselkup,65.7,82.4667,-14.83,98,85,3.0,RU,1675589602
17,atuona,-9.8,-139.0333,25.98,72,9,8.25,PF,1675589603
18,busselton,-33.65,115.3333,25.39,56,1,8.19,AU,1675589604
19,college,64.8569,-147.8028,-20.52,79,40,0.0,US,1675589604
20,lincoln,40.8,-96.667,1.04,85,0,1.34,US,1675589605
21,barrow,71.2906,-156.7887,-27.99,76,100,3.6,US,1675589606
22,tuktoyaktuk,69.4541,-133.0374,-39.36,100,42,0.49,CA,1675589607
23,carnarvon,-24.8667,113.6333,26.83,67,10,8.57,AU,1675589607
24,butaritari,3.0707,172.7902,27.08,83,86,8.01,KI,1675589608
25,bom jesus dos perdoes,-23.135,-46.4653,21.92,95,100,1.34,BR,1675589609
26,urengoy,65.9667,78.3667,-16.35,98,84,2.38,RU,1675589610
27,albany,42.6001,-73.9662,-4.87,57,98,0.89,US,1675589610
28,guaraciaba do norte,-4.1669,-40.7475,19.91,84,55,1.2,BR,1675589611
29,acarau,-2.8856,-40.12,25.36,87,58,4.42,BR,1675589612
30,ilulissat,69.2167,-51.1,-15.99,60,75,3.09,GL,1675589613
31,khatanga,71.9667,102.5,-39.68,100,59,1.92,RU,1675589613
32,kedrovyy,56.1667,91.8167,-13.77,98,100,0.66,RU,1675589614
33,kaitangata,-46.2817,169.8464,14.9,97,97,0.54,NZ,1675589615
34,maniitsoq,65.4167,-52.9,-17.52,85,100,3.4,GL,1675589615
35,katsuura,35.1333,140.3,9.57,68,100,3.86,JP,1675589323
36,saskylakh,71.9167,114.0833,-37.21,100,100,1.5,RU,1675589617
37,castro,-24.7911,-50.0119,16.76,93,100,1.41,BR,1675589617
38,sitka,57.0531,-135.33,1.94,93,75,0.0,US,1675589618
39,yulara,-25.2406,130.9889,28.29,14,0,4.69,AU,1675589619
40,meulaboh,4.1363,96.1285,27.06,79,95,3.74,ID,1675589621
41,pevek,69.7008,170.3133,-38.15,100,100,1.85,RU,1675589622
42,arraial do cabo,-22.9661,-42.0278,24.98,88,75,1.54,BR,1675589623
43,dikson,73.5069,80.5464,-20.77,98,100,1.71,RU,1675589624
44,palmer,42.1584,-72.3287,-3.2,59,100,3.09,US,1675589624
45,san cristobal,7.7669,-72.225,16.88,79,64,1.32,VE,1675589625
46,abakan,53.7156,91.4292,-15.01,75,97,1.0,RU,1675589625
47,saint george,37.1041,-113.5841,4.33,60,0,0.0,US,1675589626
48,port alfred,-33.5906,26.891,28.43,68,0,1.34,ZA,1675589627
49,rikitea,-23.1203,-134.9692,25.74,77,31,6.55,PF,1675589627
50,vestmannaeyjar,63.4427,-20.2734,7.55,93,100,14.4,IS,1675589629
51,iqaluit,63.7506,-68.5145,-34.06,60,75,5.66,CA,1675589630
52,tobe,33.7447,132.7901,7.5,51,40,1.54,JP,1675589630
53,puerto ayora,-0.7393,-90.3518,25.31,96,61,2.24,EC,1675589631
54,vaini,-21.2,-175.2,27.09,83,75,2.57,TO,1675589632
55,bluff,-46.6,168.3333,15.12,87,71,5.4,NZ,1675589633
56,port elizabeth,-33.918,25.5701,32.28,65,0,4.63,ZA,1675589633
57,olafsvik,64.8945,-23.7142,5.71,93,100,15.7,IS,1675589634
58,jacqueville,5.2052,-4.4146,27.12,73,93,3.18,CI,1675589635
59,salacgriva,57.7536,24.3581,-2.2,59,91,2.31,LV,1675589635
60,hasaki,35.7333,140.8333,7.22,57,85,3.41,JP,1675589490
61,imeni poliny osipenko,52.4201,136.4853,-21.54,99,99,0.32,RU,1675589637
62,berlevag,70.8578,29.0864,-5.0,74,100,11.83,NO,1675589637
63,kruisfontein,-34.0033,24.7314,31.05,42,1,8.94,ZA,1675589638
64,kodiak,57.79,-152.4072,1.73,93,100,6.69,US,1675589639
65,trinidad,-14.8333,-64.9,21.42,99,100,1.58,BO,1675589639
66,cockburn town,21.4612,-71.1419,25.08,75,3,9.68,TC,1675589642
